key,value
tab6_lin1_col1,2.035551358 (Ago/2024)
tab6_lin2_col0,Menor rentabilidade mensal
tab6_lin2_col1,0.742763532431 (Set/2024)
tab6_lin3_col0,Número de meses com retorno positivo
tab6_lin3_col1,2
tab6_lin4_col0,Número de meses com retorno negativo
tab6_lin4_col1,nd
tab6_lin5_col0,PL em 19/09/2024
tab6_lin5_col1,"94922447,0685"
tab6_lin6_col0,PL médio no período
tab6_lin6_col1,"91361567,7091"
tab7_lin0_col0,
tab7_lin0_col1,Ativo
tab7_lin0_col2,Saldo Bruto 30/08/24
tab7_lin0_col3,Movimentação
tab7_lin0_col4,Rendimento Bruto
tab7_lin0_col5,Saldo Bruto 19/09/24
tab7_lin0_col6,%
tab7_lin1_col0,    
tab7_lin1_col1,Fundos
tab7_lin1_col2,"58559864,2946"
tab7_lin1_col3,"46324,71"
tab7_lin1_col4,"689367,177089"
tab7_lin1_col5,"59295556,18"
tab7_lin1_col6,"62,4673699533"
tab7_lin2_col0,    
tab7_lin2_col1,Renda Fixa
tab7_lin2_col2,"19403642,9031"
tab7_lin2_col3,0
tab7_lin2_col4,"104729,177791"
tab7_lin2_col5,"19508372,0809"
tab7_lin2_col6,"20,5519059854"
tab7_lin3_col0,    
tab7_lin3_col1,Genérico
tab7_lin3_col2,"5344258,28971"
tab7_lin3_col3,0
tab7_lin3_col4,"25761,28621"
tab7_lin3_col5,"5370019,57592"
tab7_lin3_col6,"5,6572704788"
tab7_lin4_col0,    
tab7_lin4_col1,Previdência
tab7_lin4_col2,"4422318,93422"
tab7_lin4_col3,0
tab7_lin4_col4,"18465,8258958"
tab7_lin4_col5,"4440784,76012"
tab7_lin4_col6,"4,6783294122"
tab7_lin5_col0,    
tab7_lin5_col1,Ações/ETFs
tab7_lin5_col2,"4299821,4"
tab7_lin5_col3,0
tab7_lin5_col4,"-140486,64"
tab7_lin5_col5,"4155515,7"
tab7_lin5_col6,"4,3778008555"
tab7_lin6_col0,    
tab7_lin6_col1,Debêntures
tab7_lin6_col2,"1130827,67357"
tab7_lin6_col3,0
tab7_lin6_col4,"-14868,11568"
tab7_lin6_col5,"1115959,55789"
tab7_lin6_col6,"1,1756540126"
tab7_lin7_col0,    
tab7_lin7_col1,CRI/CRA
tab7_lin7_col2,"1033205,72989"
tab7_lin7_col3,0
tab7_lin7_col4,"3033,48383"
tab7_lin7_col5,"1036239,21372"
tab7_lin7_col6,"1,0916693002"
tab8_lin0_col0,
tab8_lin0_col1,Ativo
tab8_lin0_col2,Saldo Bruto 30/08/24
tab8_lin0_col3,Movimentação
tab8_lin0_col4,Rendimento Bruto
tab8_lin0_col5,Saldo Bruto 19/09/24
tab8_lin0_col6,%
tab8_lin1_col0,    
tab8_lin1_col1,BTG PACTUAL INVESTIMENTOS
tab8_lin1_col2,"40284012,3713"
tab8_lin1_col3,"46655,6"
tab8_lin1_col4,"502151,338769"
tab8_lin1_col5,"40832819,3103"
tab8_lin1_col6,"43,0170318724"
tab8_lin2_col0,    
tab8_lin2_col1,BTG PSF
tab8_lin2_col2,"28045130,9202"
tab8_lin2_col3,0
tab8_lin2_col4,"155850,246734"
tab8_lin2_col5,"28200981,167"
tab8_lin2_col6,"29,7094965812"
tab8_lin3_col0,    
